N,count,dim,lower,max,mean,median,min,n_jobs,number,repeat,test,upper
1000,3,10,2.6355107622221112,3.2478289217688143,2.8945917623738446,2.800435603130609,2.6355107622221112,4,1,3,joblib,3.2478289217688143
1000,3,10,1.5096724089235067,1.608518443070352,1.5657371420723696,1.5790205742232502,1.5096724089235067,4,1,3,memory,1.608518443070352
1000,3,10,2.083024632651359,2.1374261952005327,2.1035831559759877,2.090298640076071,2.083024632651359,4,1,3,no,2.1374261952005327
10000,3,10,10.129949788097292,12.089894284959882,10.861667075039199,10.36515715206042,10.129949788097292,1,1,3,joblib,12.089894284959882
10000,3,10,8.25967303616926,9.368080456741154,8.768166753308227,8.676746767014265,8.25967303616926,1,1,3,memory,9.368080456741154
10000,3,10,9.508422371931374,11.361742528155446,10.212657285699,9.76780695701018,9.508422371931374,1,1,3,no,11.361742528155446
10000,3,10,10.25587358372286,11.785777628887445,10.90223872816811,10.665064971894026,10.25587358372286,2,1,3,joblib,11.785777628887445
10000,3,10,9.131721381098032,9.588869614060968,9.410165276067952,9.509904833044857,9.131721381098032,2,1,3,memory,9.588869614060968
10000,3,10,9.627450542990118,11.331987394951284,10.444693912907193,10.374643800780177,9.627450542990118,2,1,3,no,11.331987394951284
10000,3,10,9.220348794013262,11.844248092733324,10.239893654827029,9.6550840777345,9.220348794013262,3,1,3,joblib,11.844248092733324
10000,3,10,8.434502128977329,9.51829077117145,9.101045173282424,9.350342619698495,8.434502128977329,3,1,3,memory,9.51829077117145
10000,3,10,9.236030824948102,12.575505821034312,10.421527814585716,9.453046797774732,9.236030824948102,3,1,3,no,12.575505821034312
10000,3,10,11.08090609498322,12.160694615915418,11.639703038303802,11.67750840401277,11.08090609498322,4,1,3,joblib,12.160694615915418
10000,3,10,8.505761496257037,10.521646410226822,9.403115793441733,9.18193947384134,8.505761496257037,4,1,3,memory,10.521646410226822
10000,3,10,10.141158638056368,11.3375055748038,10.888142331968993,11.185762783046812,10.141158638056368,4,1,3,no,11.3375055748038
100,3,20,1.8845527982339263,1.9112697043456137,1.896328510561337,1.8931630291044712,1.8845527982339263,1,1,3,joblib,1.9112697043456137
100,3,20,0.9102133242413402,0.9335632296279073,0.9237611286031703,0.9275068319402635,0.9102133242413402,1,1,3,memory,0.9335632296279073
100,3,20,1.0994166168384254,1.137370876967907,1.1192094078287482,1.1208407296799123,1.0994166168384254,1,1,3,no,1.137370876967907
100,3,20,1.896639958024025,1.9519113386049867,1.925722180865705,1.9286152459681034,1.896639958024025,2,1,3,joblib,1.9519113386049867
100,3,20,0.9283555652946234,0.9513308233581483,0.9388717434679469,0.9369288417510688,0.9283555652946234,2,1,3,memory,0.9513308233581483
100,3,20,1.1221711859107018,1.1375072239898145,1.127486208608995,1.1227802159264684,1.1221711859107018,2,1,3,no,1.1375072239898145
100,3,20,1.9179668817669153,2.5764386230148375,2.161340604070574,1.9896163074299693,1.9179668817669153,3,1,3,joblib,2.5764386230148375
100,3,20,0.9294086690060794,0.9554985421709716,0.9439219253448149,0.9468585648573935,0.9294086690060794,3,1,3,memory,0.9554985421709716
100,3,20,1.1345515800639987,1.1562021309509873,1.1429541613906622,1.1381087731570005,1.1345515800639987,3,1,3,no,1.1562021309509873
100,3,20,1.9373966907151043,1.9561944818124175,1.945258821050326,1.9421852906234562,1.9373966907151043,4,1,3,joblib,1.9561944818124175
100,3,20,0.9361250470392406,0.9403231479227543,0.9378921280925473,0.9372281893156469,0.9361250470392406,4,1,3,memory,0.9403231479227543
