N,dim,fit_intercept,lib,max,max3,mean,median,method,min,min3,repeat
10,5,False,ort,6.949601811356843e-05,4.762399476021528e-05,4.529117839410901e-05,4.488200647756457e-05,predict_proba,4.451299901120365e-05,4.4657004764303565e-05,100
1,10,True,skl,0.00015612499555572867,9.10680100787431e-05,7.496486068703234e-05,7.283750164788216e-05,predict,7.220101542770863e-05,7.236801320686936e-05,100
1,10,True,skl,0.0001134570047724992,9.516699356026947e-05,8.956312987720594e-05,8.884949784260243e-05,predict_proba,8.827299461700022e-05,8.839997462928295e-05,100
1,10,True,ort,0.00010077201295644045,3.7138001061975956e-05,3.166429029079154e-05,3.0704017262905836e-05,predict,3.0455004889518023e-05,3.0512979719787836e-05,100
1,10,True,ort,4.47539787273854e-05,4.1557999793440104e-05,3.341199044371024e-05,3.3030504710040987e-05,predict_proba,3.268397995270789e-05,3.28150053974241e-05,100
10,10,True,skl,9.615797898732126e-05,9.000999853014946e-05,7.465957896783948e-05,7.335850386880338e-05,predict,7.27310252841562e-05,7.291801739484072e-05,100
10,10,True,skl,0.00010834701242856681,0.00010465699597261846,9.081257943762467e-05,8.942751446738839e-05,predict_proba,8.864898700267076e-05,8.883597911335528e-05,100
10,10,True,ort,5.06450014654547e-05,3.79650155082345e-05,3.3135729318019e-05,3.275548806414008e-05,predict,3.231799928471446e-05,3.246901906095445e-05,100
10,10,True,ort,5.540400161407888e-05,5.37979940418154e-05,4.553897015284747e-05,4.514050669968128e-05,predict_proba,4.478500341065228e-05,4.484699456952512e-05,100
1,10,False,skl,0.00014308898244053125,0.000100627017673105,7.55367404781282e-05,7.298251148313284e-05,predict,7.22880067769438e-05,7.241600542329252e-05,100
1,10,False,skl,0.00012430798960849643,0.00010898499749600887,9.041788929607719e-05,8.886349678505212e-05,predict_proba,8.818999049253762e-05,8.834199979901314e-05,100
1,10,False,ort,8.468501619063318e-05,4.775900742970407e-05,3.197185113094747e-05,3.070950333494693e-05,predict,3.0244002118706703e-05,3.0422990676015615e-05,100
1,10,False,ort,4.46279882453382e-05,3.523597843013704e-05,3.345481003634632e-05,3.324251156300306e-05,predict_proba,3.293398185633123e-05,3.299000672996044e-05,100
10,10,False,skl,0.00012344200513325632,9.665600373409688e-05,7.570604793727398e-05,7.351249223574996e-05,predict,7.293099770322442e-05,7.304601604118943e-05,100
10,10,False,skl,0.00010084902169182897,9.508398943580687e-05,8.989103022031485e-05,8.945350418798625e-05,predict_proba,8.894898928701878e-05,8.900900138542056e-05,100
10,10,False,ort,5.085999146103859e-05,3.942800685763359e-05,3.3337617933284493e-05,3.292200563009828e-05,predict,3.257399657741189e-05,3.271602327004075e-05,100
10,10,False,ort,5.545301246456802e-05,4.827100201509893e-05,4.565004172036424e-05,4.5449502067640424e-05,predict_proba,4.507999983616173e-05,4.521000664681196e-05,100
1,20,True,skl,0.0001448789844289422,9.063901961781085e-05,7.518295111367478e-05,7.304950850084424e-05,predict,7.237601676024497e-05,7.254100637510419e-05,100
1,20,True,skl,0.000125063001178205,0.00011319300392642617,9.063310921192169e-05,8.901549153961241e-05,predict_proba,8.835102198645473e-05,8.860297384671867e-05,100
1,20,True,ort,8.355799946002662e-05,3.787199966609478e-05,3.1802620214875786e-05,3.107500378973782e-05,predict,3.0705006793141365e-05,3.086100332438946e-05,100
1,20,True,ort,5.878799129277468e-05,4.9202004447579384e-05,3.4579960629343984e-05,3.3256495953537524e-05,predict_proba,3.292900510132313e-05,3.3024000003933907e-05,100
10,20,True,skl,0.00010524899698793888,9.177302126772702e-05,7.509032206144183e-05,7.382700277958065e-05,predict,7.341400487348437e-05,7.352198008447886e-05,100
10,20,True,skl,0.0001188809983432293,0.00011232902761548758,9.148201992502436e-05,8.971348870545626e-05,predict_proba,8.908298332244158e-05,8.912300108931959e-05,100
10,20,True,ort,5.325497477315366e-05,3.912899410352111e-05,3.392238810192793e-05,3.346048470120877e-05,predict,3.310199826955795e-05,3.318098606541753e-05,100
10,20,True,ort,6.081900210119784e-05,5.577501724474132e-05,4.6429140202235433e-05,4.587350122164935e-05,predict_proba,4.550800076685846e-05,4.5626016799360514e-05,100
1,20,False,skl,0.00017816200852394104,0.00010782299796119332,7.716044987319038e-05,7.29455059627071e-05,predict,7.230500341393054e-05,7.246099994517863e-05,100
1,20,False,skl,0.00011641901801340282,0.00010636099614202976,9.126591030508279e-05,8.918849925976247e-05,predict_proba,8.834601612761617e-05,8.869601879268885e-05,100
1,20,False,ort,8.343000081367791e-05,3.98379925172776e-05,3.195303987013176e-05,3.080051101278514e-05,predict,3.0453986255452037e-05,3.0552007956430316e-05,100
1,20,False,ort,4.42469900008291e-05,4.176999209448695e-05,3.360476868692786e-05,3.296499198768288e-05,predict_proba,3.2674986869096756e-05,3.2768992241472006e-05,100
10,20,False,skl,0.00010185700375586748,9.998801397159696e-05,7.665512152016163e-05,7.360649760812521e-05,predict,7.297401316463947e-05,7.3084986070171e-05,100
